id,host_yrs_experience,host_response_time,host_response_rate,host_is_superhost,host_listings_count,host_identity_verified,accommodates,bathrooms,bedrooms,beds,bed_type,charge_cleaning_fee,guests_included,charge_extra_people,availability_60,number_of_reviews,review_recency,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,cancellation_policy,reviews_per_month,review_scores_rating,target_recommendation_numeric,target_recommendation
16437795,4.3,within a day,50%,f,2,f,4,2,3,3,Real Bed,t,4,t,59,1,3.06,8,8,10,6,10,4,f,flexible,0.31,20,0,bad
16003481,5.2,within a few hours,100%,f,4,f,6,1,1,4,Real Bed,f,2,t,0,1,2.97,2,4,2,2,2,2,f,strict,0.48,20,0,bad
11169799,4.0,within a day,93%,f,2,f,7,2,3,3,Real Bed,t,4,t,60,1,3.69,2,2,2,2,6,2,f,strict,0.09,20,0,bad
7575345,4.6,N/A,N/A,f,1,f,3,1,1,1,Real Bed,t,1,f,0,3,3.95,,,,,,,f,moderate,0.21,20,0,bad
6677410,8.9,within an hour,100%,f,2,t,3,1,1,1,Real Bed,t,2,t,60,1,4.55,2,2,2,2,8,2,t,flexible,0.05,20,0,bad
15519348,5.7,within a few hours,100%,f,7,t,2,1,1,1,Real Bed,t,1,t,60,1,2.81,2,2,8,8,10,2,t,strict,1,20,0,bad
12453890,3.9,within an hour,100%,f,17,t,2,1,1,2,Real Bed,f,1,f,60,2,3.37,2,2,2,2,2,2,f,flexible,0.16,20,0,bad
8370744,4.4,N/A,N/A,f,1,f,2,1,0,1,Real Bed,t,1,f,0,1,4.38,,,,,,,f,moderate,0.05,20,0,bad
16051979,3.2,a few days or more,25%,f,1,f,2,1,1,1,Real Bed,f,1,f,59,1,3.14,2,4,8,6,6,6,f,flexible,0.24,20,0,bad
10991165,6.2,within an hour,100%,f,1,t,2,1,1,1,Real Bed,t,1,t,30,1,2.83,4,6,10,2,2,2,f,strict,1,20,0,bad
14711793,3.5,N/A,N/A,f,1,f,1,1,1,1,Real Bed,f,1,f,0,5,3.46,2,,2,2,10,2,t,flexible,0.6,20,0,bad
13849313,4.8,N/A,N/A,f,1,f,2,1,1,1,Real Bed,t,1,f,59,1,3.35,2,,,,,,f,flexible,0.15,20,0,bad
9374155,4.3,within a day,100%,f,2,t,3,1,1,2,Real Bed,t,2,t,59,1,3.13,4,4,2,4,6,2,f,flexible,0.25,20,0,bad
14220831,3.6,N/A,N/A,f,3,f,1,1,1,1,Real Bed,t,1,f,60,1,3.55,2,2,2,6,2,2,f,strict,0.11,20,0,bad
14200668,3.6,N/A,N/A,f,1,f,4,2,2,2,Real Bed,f,1,t,60,2,3.43,6,6,8,4,8,2,f,flexible,0.22,20,0,bad
18305674,2.9,within an hour,100%,f,17,f,1,2,1,1,Real Bed,t,1,f,51,1,2.82,4,2,6,4,2,2,t,strict,1,20,0,bad
11273055,7.7,within a few hours,84%,f,22,t,1,3,1,1,Real Bed,f,1,t,60,1,2.93,2,2,2,2,2,2,f,flexible,0.64,20,0,bad
15484442,3.7,within an hour,100%,t,2,f,2,1,1,1,Real Bed,f,1,t,60,1,3.33,2,2,6,10,10,2,f,flexible,0.16,20,0,bad
14576133,3.5,a few days or more,0%,f,3,f,2,1,1,1,Real Bed,t,2,t,59,1,3.50,2,4,2,2,2,2,f,flexible,0.12,20,0,bad
15718401,3.3,within a day,100%,f,1,f,2,1,1,1,Real Bed,t,1,t,60,1,3.13,,,2,2,,,t,flexible,0.25,20,0,bad
13953635,7.5,within a few hours,57%,f,2,f,2,1,1,1,Real Bed,t,1,t,60,1,3.23,4,6,2,2,8,2,t,strict,0.19,20,0,bad
16005522,3.3,N/A,N/A,f,1,f,3,1,1,1,Real Bed,f,1,f,0,2,3.13,4,2,10,10,2,2,f,flexible,0.42,20,0,bad
6925142,5.2,N/A,N/A,f,1,t,2,1,1,1,Real Bed,t,2,t,57,1,4.50,2,2,2,2,6,2,f,flexible,0.05,20,0,bad
13905605,4.7,within a few hours,90%,f,10,t,4,1,1,2,Real Bed,t,3,t,60,1,3.55,2,2,2,6,2,2,t,moderate,0.11,20,0,bad
13156996,3.8,a few days or more,0%,f,1,t,8,3,3,6,Real Bed,t,6,t,58,1,3.16,,,2,4,,,t,strict,0.13,20,0,bad
14554983,3.5,within a day,75%,f,1,t,8,3,4,5,Real Bed,t,1,f,57,1,3.37,2,2,2,2,4,2,f,moderate,0.14,20,0,bad
15421058,3.4,within a day,80%,f,16,f,1,1,1,1,Real Bed,t,1,t,60,1,3.32,2,2,,6,,,t,strict,0.16,20,0,bad
17078757,3.6,within an hour,100%,f,1,t,2,1,1,1,Real Bed,f,1,f,0,1,2.95,6,2,8,10,10,2,t,strict,0.45,20,0,bad
14319922,5.5,within an hour,100%,f,2,t,1,1,1,1,Real Bed,f,1,f,60,1,3.01,,,,,,,t,flexible,0.39,20,0,bad
17869087,5.6,within a few hours,100%,f,1,t,2,1,1,1,Real Bed,f,1,t,0,2,2.81,2,2,2,2,7,2,t,moderate,1.82,20,0,bad
5631470,6.9,N/A,N/A,f,1,t,3,1,1,1,Real Bed,f,1,f,60,1,4.63,2,2,2,2,2,2,f,flexible,0.04,20,0,bad
16181951,3.2,within a day,50%,f,1,f,2,1,1,2,Real Bed,f,1,f,0,1,2.98,2,2,2,2,2,2,t,flexible,0.45,20,0,bad
7790855,4.5,N/A,N/A,f,1,f,4,1,1,2,Real Bed,f,1,f,0,1,4.50,2,2,2,2,2,2,f,flexible,0.05,20,0,bad
10803131,5.4,within an hour,100%,f,6,t,1,1,1,1,Real Bed,t,1,f,0,1,3.97,2,6,2,,,,f,flexible,0.07,20,0,bad
12899996,3.8,a few days or more,0%,f,1,f,8,2,2,6,Real Bed,t,1,f,53,1,3.54,2,2,2,2,2,2,f,flexible,0.11,20,0,bad
12410264,3.9,N/A,N/A,f,1,f,4,2,2,2,Real Bed,t,4,t,0,2,3.71,6,2,2,2,10,4,f,strict,0.17,20,0,bad
9617789,4.2,N/A,N/A,f,1,t,3,1,1,1,Real Bed,f,1,f,0,1,4.17,6,4,2,6,10,4,t,flexible,0.06,20,0,bad
16268440,3.8,within an hour,100%,f,1,f,7,2,2,4,Real Bed,t,1,f,1,2,2.92,4,2,4,4,6,2,f,flexible,1.03,20,0,bad
16393079,3.2,a few days or more,33%,f,1,f,4,1,1,2,Real Bed,f,1,f,60,1,3.17,,,2,2,,,t,strict,0.22,20,0,bad
14983931,6.2,within an hour,100%,f,27,t,1,1,1,1,Real Bed,f,1,f,60,1,3.42,2,2,2,2,2,2,f,flexible,0.13,20,0,bad
16175483,3.2,within an hour,100%,f,2,f,3,1,1,1,Real Bed,f,1,f,59,1,2.98,2,2,2,2,6,6,f,strict,0.45,20,0,bad
15891011,3.7,within an hour,100%,f,1,t,2,1,1,1,Real Bed,f,1,f,59,1,3.13,,,,,,,f,flexible,0.24,20,0,bad
9095960,4.3,N/A,N/A,f,1,t,2,1,1,1,Real Bed,t,2,t,0,2,4.30,2,2,4,2,2,2,t,flexible,0.11,20,0,bad
15604351,6.7,within a few hours,94%,f,19,t,6,2,2,4,Real Bed,t,1,f,0,1,3.14,2,8,4,2,8,6,f,strict,0.24,20,0,bad
12308959,4.3,within a day,94%,f,20,f,2,1.5,1,1,Real Bed,t,1,t,60,1,3.83,2,2,4,4,2,2,f,strict,0.08,20,0,bad
17903287,3.5,within an hour,100%,f,1,f,1,1,1,1,Real Bed,f,2,t,11,1,2.85,2,6,2,4,4,4,t,moderate,1,20,0,bad
17212078,5.1,within a few hours,100%,f,1,t,1,1,1,1,Real Bed,t,1,t,57,1,2.82,2,2,2,2,2,2,f,strict,1,20,0,bad
13003754,4.8,within an hour,96%,f,7,t,14,3,3,7,Real Bed,t,8,t,40,1,2.85,2,2,6,2,6,2,f,strict,0.65,20,0,bad
3264791,5.7,N/A,N/A,f,1,t,2,1,1,1,Real Bed,f,1,f,0,1,4.72,2,2,8,8,2,2,f,flexible,0.04,20,0,bad
17027309,4.3,within an hour,80%,f,1,t,2,1,1,1,Real Bed,t,1,t,11,1,3.00,2,2,4,4,6,2,t,flexible,0.41,20,0,bad
16076835,4.4,within an hour,100%,f,12,t,4,1,1,1,Real Bed,t,1,t,57,3,2.95,5,6,2,5,9,3,f,strict,1.23,27,0,bad
3111809,5.8,within an hour,100%,f,1,f,2,1,1,1,Real Bed,t,1,t,60,2,3.53,4,4,10,6,4,4,f,flexible,0.08,30,0,bad
7418369,4.6,N/A,N/A,f,3,t,1,1,1,1,Futon,t,1,t,60,2,3.50,3,5,10,9,10,4,f,strict,0.1,30,0,bad
1864277,7.0,within a day,64%,f,7,f,6,2,2,2,Real Bed,t,5,t,43,3,6.11,5,4,6,7,5,4,f,moderate,0.07,30,0,bad
4708239,5.7,N/A,N/A,f,1,f,2,1,1,1,Real Bed,f,1,f,0,2,5.13,4,2,9,8,5,5,f,flexible,0.07,30,0,bad
15112976,3.4,N/A,N/A,f,1,f,2,1,1,2,Real Bed,f,1,f,0,2,3.15,6,6,5,5,7,3,t,flexible,0.27,30,0,bad
18096795,4.3,within an hour,100%,f,1,t,2,1,1,1,Real Bed,t,1,f,50,2,2.83,4,4,7,8,6,3,f,flexible,2,30,0,bad
16167346,4.0,within an hour,90%,f,3,f,4,1,2,2,Real Bed,t,1,f,60,5,3.00,4,5,5,4,7,3,t,strict,1.05,35,0,bad
13530305,4.2,within a day,67%,f,1,t,2,1,1,1,Real Bed,t,1,t,59,1,3.55,8,2,10,10,10,8,f,moderate,0.11,40,0,bad
17747786,5.4,within an hour,100%,f,50,t,2,2,1,2,Real Bed,t,1,t,43,1,2.90,6,4,8,10,6,6,f,flexible,0.83,40,0,bad
